claim_id,location,claim_type,value_paper,digits,units,comparison,needs_block,claim
abstract_replications,Abstract (p. 1),pipeline,33,0,NA,==,TRUE,33 replications of 12 pre-pandemic designs
abstract_designs,Abstract (p. 1),pipeline,12,0,NA,==,TRUE,12 pre-pandemic designs
abstract_samples,Abstract (p. 1),pipeline,13,0,NA,==,TRUE,fielded across 13 quota samples of Americans
abstract_field_month_first,Abstract (p. 1),definitional,3,0,month,==,TRUE,between March and July 2020: first month of fielding
abstract_field_month_last,Abstract (p. 1),definitional,7,0,month,==,TRUE,between March and July 2020: last month of fielding
abstract_field_year,Abstract (p. 1),definitional,2020,0,NA,==,TRUE,between March and July 2020: the year of fielding
intro_lucid_tripled,Introduction (p. 2),descriptive,NA,0,NA,==,TRUE,purchases by academic clients on Lucid nearly tripled between 2019 and 2020
intro_replications,Introduction (p. 2),pipeline,33,0,NA,==,TRUE,an answer using 33 replications fielded during the onset of the COVID-19 pandemic
intro_designs,Introduction (p. 2),pipeline,12,0,NA,==,TRUE,of 12 previously published survey experiments
intro_correspondence,Introduction (p. 2),pipeline,73,0,percent,==,TRUE,somewhat smaller in magnitude at an average of 73% of the pre-COVID effect size
figure_1_ci_level,Figure 1 note (p. 3),definitional,95,0,percent,==,FALSE,"95% confidence bands from LOESS smoother. geom_smooth's level argument, whose default the figure script takes"
figure_1_who_declaration_day,Figure 1 note (p. 3),transcribed,11,0,NA,==,FALSE,The WHO declared COVID-19 a pandemic on 11 March 2020
figure_1_coverage_period,Figure 1 note (p. 3),descriptive,NA,0,NA,==,TRUE,Proprietary data provided by Lucid cover the period 1 January 2019 - 18 March 2021
figure_1_completes_2019,Figure 1 note (p. 3),pipeline,729284,0,NA,==,TRUE,"In 2019, Lucid sold 729,284 completed survey responses to academic buyers"
figure_1_completes_2020,Figure 1 note (p. 3),pipeline,2185387,0,NA,==,TRUE,"compared with 2,185,387 in 2020"
background_commercial_growth,Background (p. 3),definitional,40,0,percent,approx,FALSE,demand for survey respondents in 2020 increased by roughly 40% among commercial clients. The deposit carries no commercial-client data
background_academic_growth,Background (p. 3),pipeline,200,0,percent,==,TRUE,and by 200% among academic clients (see Figure 1)
background_figure_1_reference,Background (p. 3),descriptive,NA,0,NA,==,TRUE,cross-reference: (see Figure 1)
footnote_1_conversation_day,Footnote 1 (p. 3),definitional,18,0,NA,==,FALSE,Conversation with Lucid representatives on 18 March 2021
design_weekly_sample,Design (p. 4),pipeline,1000,0,NA,approx,TRUE,"we recruited weekly samples of approximately 1,000 US-based participants via Lucid"
design_survey_min_minutes,Design (p. 4),definitional,10,0,minutes,==,FALSE,"Each survey was between 10 and 15 min-long. A statement about the instrument, not about the responses"
design_survey_max_minutes,Design (p. 4),definitional,15,0,minutes,==,FALSE,Each survey was between 10 and 15 min-long
design_median_duration,Design (p. 4),pipeline,12.8,1,minutes,==,TRUE,(median duration: 12.8 min)
design_module_min,Design (p. 4),definitional,3,0,minutes,==,FALSE,structured in discrete 3-5 min modules
design_module_max,Design (p. 4),definitional,5,0,minutes,==,FALSE,structured in discrete 3-5 min modules
design_criteria_count,Selection criteria (p. 4),structural,5,0,NA,==,FALSE,the numbered list of selection criteria runs 1 to 5
design_replications,Selection criteria (p. 4),pipeline,33,0,NA,==,TRUE,We conducted 33 replications across 12 unique studies
design_studies,Selection criteria (p. 4),pipeline,12,0,NA,==,TRUE,We conducted 33 replications across 12 unique studies
design_modified_studies,Selection criteria (p. 5),descriptive,NA,0,NA,==,TRUE,"Modified versions of studies 2, 3, 5, and 7 were also replicated using COVID-specific content"
design_null_studies,Selection criteria (p. 5),structural,2,0,NA,==,FALSE,"For studies with null results (studies 11-12). A classification of the two studies, stated in the text and visible in Table 1"
design_appendix_a_reference,Selection criteria (p. 5),descriptive,NA,0,NA,==,TRUE,cross-reference: A description of each modified version ... are provided in Online Appendix Section A
results_studies,Results (p. 5),pipeline,12,0,NA,==,TRUE,the original effect size(s) for each of the 12 pre-COVID studies listed in Table 1
results_table_1_reference,Results (p. 5),descriptive,NA,0,NA,==,TRUE,cross-reference: the 12 pre-COVID studies listed in Table 1
results_studies_with_precovid_replication,Results (p. 5),pipeline,7,0,NA,==,TRUE,at least one pre-COVID replication estimate of the original effect size(s) for 7 of these studies
results_precovid_estimates,Results (p. 5),pipeline,89,0,NA,==,TRUE,"In total, we obtained 89 pre-COVID estimates"
results_replication_estimates,Results (p. 5),pipeline,101,0,NA,==,TRUE,and 101 replication estimates
footnote_3_gss_administrations,Footnote 3 (p. 5),definitional,20,0,NA,==,TRUE,The GSS has administered the welfare versus aid to the poor experiment 20 times between 1986 and 2018
footnote_3_gss_first_year,Footnote 3 (p. 5),definitional,1986,0,NA,==,FALSE,between 1986 and 2018
footnote_3_gss_last_year,Footnote 3 (p. 5),definitional,2018,0,NA,==,FALSE,between 1986 and 2018
footnote_3_all_precovid_estimates,Footnote 3 (p. 5),pipeline,108,0,NA,==,TRUE,"If all GSS estimates are included, we have 108 pre-COVID-19 estimates in total"
footnote_3_benchmark_year,Footnote 3 (p. 5),definitional,1986,0,NA,==,FALSE,we use the 1986 GSS experiment as our original estimate
footnote_3_huber_replications,Footnote 3 (p. 5),definitional,2,0,NA,==,TRUE,take the first two replications conducted on online samples by Huber and Paris (2013) as our pre-COVID replication estimates
results_ci_multiplier,Results (p. 5),definitional,1.96,2,NA,==,FALSE,"the 95 per cent intervals plotted in Figures 2 and 3 are the estimate plus or minus 1.96 standard errors, visible at the call site in clean_summary_estimates.R"
results_summary_estimates,Results (p. 6),pipeline,138,0,NA,==,TRUE,"Across the 12 studies, we obtained 138 summary effect size estimates"
results_summary_conjoint,Results (p. 6),pipeline,82,0,NA,==,TRUE,82 for the conjoint studies
results_summary_nonconjoint,Results (p. 6),pipeline,56,0,NA,==,TRUE,and 56 for the remaining studies
results_fig2_pairs,Results (p. 6),pipeline,28,0,NA,==,TRUE,Figure 2 compares the 28 estimated summary effects from the pre-COVID studies with their 28 replications
results_all_smaller_nonconjoint,Results (p. 6),descriptive,NA,0,NA,==,TRUE,All replication summary estimates were smaller in magnitude than their pre-COVID estimates
results_correctly_signed_nonconjoint,Results (p. 6),pipeline,24,0,NA,==,TRUE,with 24 of 28 signed in the same direction
results_sig_smaller_of_24,Results (p. 6),pipeline,10,0,NA,==,TRUE,"Of the 24 correctly signed estimates, 10 were significantly smaller in replication. Superseded by the 2023 corrigendum, which gives 11"
results_incorrectly_signed,Results (p. 6),pipeline,4,0,NA,==,TRUE,Of the four incorrectly signed estimates
results_sig_among_incorrect,Results (p. 6),pipeline,3,0,NA,==,TRUE,three were significantly different
results_atomic_sig_count,Results (p. 6),pipeline,2,0,NA,==,TRUE,two of six estimates from the atomic aversion study
results_atomic_estimate_count,Results (p. 6),pipeline,6,0,NA,==,TRUE,two of six estimates from the atomic aversion study
results_foreign_aid_significant,Results (p. 6),descriptive,NA,0,NA,==,TRUE,the foreign aid misperceptions study [is one of the three significantly different incorrectly signed estimates]
results_conjoint_pairs,Results (p. 6),pipeline,41,0,NA,==,TRUE,Figure 3 plots the analogous information for the 41 conjoint estimates and their 41 replications
results_conjoint_same_sign,Results (p. 6),descriptive,NA,0,NA,==,TRUE,all of which are signed in the same direction
results_conjoint_smaller,Results (p. 6),pipeline,35,0,NA,==,TRUE,"Of these, 35 of 41 were smaller in replication"
results_conjoint_sig_among_smaller,Results (p. 6),pipeline,6,0,NA,==,TRUE,"35 of 41 were smaller in replication (6 statistically significant differences). Superseded by the 2023 corrigendum, which gives 11"
results_conjoint_larger,Results (p. 6),pipeline,6,0,NA,==,TRUE,and 6 of 41 were larger in replication
results_conjoint_sig_among_larger,Results (p. 6),pipeline,1,0,NA,==,TRUE,6 of 41 were larger in replication (1 of 6 significant differences)
results_pooled_correctly_signed,Results (p. 6),pipeline,65,0,NA,==,TRUE,Pooling across all 65 of 69 correctly signed pairs presented in Figures 2-3
results_pooled_pairs,Results (p. 6),pipeline,69,0,NA,==,TRUE,Pooling across all 65 of 69 correctly signed pairs
results_correspondence_overall,Results (p. 6),pipeline,73,0,percent,==,TRUE,"the replication estimates were, on average, 73% as large as the pre-COVID estimates"
results_correspondence_conjoint,Results (p. 6),pipeline,87,0,percent,==,TRUE,"The 41 correctly signed estimates from the conjoint replication were, on average, 87% as large as the original"
results_correspondence_nonconjoint,Results (p. 6),pipeline,49,0,percent,==,TRUE,"The 24 of 28 correctly signed estimates from the other replications were, on average, 49% as large"
results_figures_2_3_reference,Results (p. 6),descriptive,NA,0,NA,==,TRUE,cross-reference: the 65 of 69 correctly signed pairs presented in Figures 2-3
figure_2_caption_pairs,Figure 2 caption (p. 7),pipeline,28,0,NA,==,TRUE,Comparison of 28 summary effect sizes across 11 studies (conjoint excluded)
figure_2_caption_studies,Figure 2 caption (p. 7),pipeline,11,0,NA,==,TRUE,Comparison of 28 summary effect sizes across 11 studies (conjoint excluded)
figure_2_ci_level,Figure 2 note (p. 7),definitional,95,0,percent,==,FALSE,Estimated summary effect sizes and 95% confidence intervals
figure_2_sig_count,Figure 2 note (p. 7),pipeline,13,0,NA,==,TRUE,"Thirteen of 28 replication estimates were significantly different from their pre-COVID benchmark at P < 0.05. Superseded by the 2023 corrigendum, which gives 14 before adjustment and 13 after"
figure_2_alpha,Figure 2 note (p. 7),definitional,0.05,2,NA,==,FALSE,significantly different from their pre-COVID benchmark at P < 0.05
figure_3_caption_pairs,Figure 3 caption (p. 8),pipeline,41,0,NA,==,TRUE,Comparison of 41 summary effect sizes in conjoint experiments
figure_3_ci_level,Figure 3 note (p. 8),definitional,95,0,percent,==,FALSE,Estimated summary effect sizes and 95% confidence intervals
figure_3_sig_count,Figure 3 note (p. 8),pipeline,7,0,NA,==,TRUE,"Seven of 41 replication estimates were significantly different from their pre-COVID benchmark at P < 0.05. Superseded by the 2023 corrigendum, which gives 12 before adjustment and 7 after"
figure_3_alpha,Figure 3 note (p. 8),definitional,0.05,2,NA,==,FALSE,significantly different from their pre-COVID benchmark at P < 0.05
comparison_osc_experiments,Results (p. 7),transcribed,100,0,NA,==,FALSE,Open Science Collaboration (2015) replicated 100 experiments
comparison_osc_journals,Results (p. 7),transcribed,3,0,NA,==,FALSE,from 3 top psychology journals
comparison_osc_replicated,Results (p. 7),transcribed,40,0,percent,approx,FALSE,found that about 40% replicated
comparison_camerer_experiments,Results (p. 7),transcribed,18,0,NA,==,FALSE,Camerer et al. (2016) replicated 18 survey and lab-based experiments
comparison_camerer_successful,Results (p. 7),transcribed,11,0,NA,==,FALSE,effect sizes in the 11 studies that successfully replicated
comparison_camerer_ratio,Results (p. 7),transcribed,66,0,percent,approx,FALSE,were approximately 66% of the original
comparison_coppock_estimates,Results (p. 7),transcribed,40,0,NA,==,FALSE,Coppock (2019) replicated 40 treatment effect estimates
comparison_coppock_experiments,Results (p. 7),transcribed,12,0,NA,==,FALSE,from 12 survey experiments
comparison_coppock_ratio,Results (p. 7),transcribed,66,0,percent,==,FALSE,the median MTurk estimate was 66% of the original effect size
comparison_prior_studies,Results (p. 7),structural,NA,0,NA,==,FALSE,Prior replications of studies 7 and 8 have found effect sizes at least as large as the original
footnote_5_survey_day,Footnote 5 (p. 9),definitional,29,0,NA,==,FALSE,In a separate Lucid survey fielded on 29 October. That survey is not in the deposit
footnote_5_game_share,Footnote 5 (p. 9),definitional,51,0,percent,==,FALSE,51% reported they were [recruited from a game]. Not in the deposit
footnote_5_game_pass,Footnote 5 (p. 9),definitional,38,0,percent,==,FALSE,"among those coming from an online game, only 38% passed the ACQ. Not in the deposit"
