paper_id,claim_id,table_figure,claim,value_script,value_paper,digits,match,value_rewrite,match_rewrite,holds,defect_locus,notes
peyton_huber_coppock_2022,abstract_replications,Abstract (p. 1),33 replications of 12 pre-pandemic designs,NA,33,0,NA,33,1,NA,NA,NA
peyton_huber_coppock_2022,abstract_designs,Abstract (p. 1),12 pre-pandemic designs,NA,12,0,NA,12,1,NA,NA,NA
peyton_huber_coppock_2022,abstract_samples,Abstract (p. 1),fielded across 13 quota samples of Americans,NA,13,0,NA,13,1,NA,NA,NA
peyton_huber_coppock_2022,abstract_field_month_first,Abstract (p. 1),between March and July 2020: first month of fielding,NA,3,0,NA,3,1,NA,NA,NA
peyton_huber_coppock_2022,abstract_field_month_last,Abstract (p. 1),between March and July 2020: last month of fielding,NA,7,0,NA,7,1,NA,NA,NA
peyton_huber_coppock_2022,abstract_field_year,Abstract (p. 1),between March and July 2020: the year of fielding,NA,2020,0,NA,2020,1,NA,NA,NA
peyton_huber_coppock_2022,intro_replications,Introduction (p. 2),an answer using 33 replications fielded during the onset of the COVID-19 pandemic,NA,33,0,NA,33,1,NA,NA,NA
peyton_huber_coppock_2022,intro_designs,Introduction (p. 2),of 12 previously published survey experiments,NA,12,0,NA,12,1,NA,NA,NA
peyton_huber_coppock_2022,intro_correspondence,Introduction (p. 2),somewhat smaller in magnitude at an average of 73% of the pre-COVID effect size,72.97646089665277,73,0,1,73,1,NA,NA,NA
peyton_huber_coppock_2022,figure_1_completes_2019,Figure 1 note (p. 3),"In 2019, Lucid sold 729,284 completed survey responses to academic buyers",NA,729284,0,NA,729284,1,NA,NA,NA
peyton_huber_coppock_2022,figure_1_completes_2020,Figure 1 note (p. 3),"compared with 2,185,387 in 2020",NA,2185387,0,NA,2185387,1,NA,NA,NA
peyton_huber_coppock_2022,background_academic_growth,Background (p. 3),and by 200% among academic clients (see Figure 1),NA,200,0,NA,199.66199724661448,1,NA,NA,NA
peyton_huber_coppock_2022,design_weekly_sample,Design (p. 4),"we recruited weekly samples of approximately 1,000 US-based participants via Lucid",NA,1000,0,NA,1278.8461538461538,NA,NA,NA,NA
peyton_huber_coppock_2022,design_median_duration,Design (p. 4),(median duration: 12.8 min),NA,12.8,1,NA,12.883333333333333,0,NA,paper_internal,"The median completion time is 12.883 minutes, which is 12.9 at the stated precision and 12.8 only if truncated"
peyton_huber_coppock_2022,design_replications,Selection criteria (p. 4),We conducted 33 replications across 12 unique studies,NA,33,0,NA,33,1,NA,NA,NA
peyton_huber_coppock_2022,design_studies,Selection criteria (p. 4),We conducted 33 replications across 12 unique studies,NA,12,0,NA,12,1,NA,NA,NA
peyton_huber_coppock_2022,results_studies,Results (p. 5),the original effect size(s) for each of the 12 pre-COVID studies listed in Table 1,NA,12,0,NA,12,1,NA,NA,NA
peyton_huber_coppock_2022,results_studies_with_precovid_replication,Results (p. 5),at least one pre-COVID replication estimate of the original effect size(s) for 7 of these studies,NA,7,0,NA,7,1,NA,NA,NA
peyton_huber_coppock_2022,results_precovid_estimates,Results (p. 5),"In total, we obtained 89 pre-COVID estimates",NA,89,0,NA,89,1,NA,NA,NA
peyton_huber_coppock_2022,results_replication_estimates,Results (p. 5),and 101 replication estimates,NA,101,0,NA,102,0,NA,unresolved,The deposit's own set of pooled estimates holds 102 replication estimates against the article's 101; the 89 pre-COVID estimates in the same sentence reproduce exactly
peyton_huber_coppock_2022,footnote_3_gss_administrations,Footnote 3 (p. 5),The GSS has administered the welfare versus aid to the poor experiment 20 times between 1986 and 2018,NA,20,0,NA,20,1,NA,NA,NA
peyton_huber_coppock_2022,footnote_3_all_precovid_estimates,Footnote 3 (p. 5),"If all GSS estimates are included, we have 108 pre-COVID-19 estimates in total",NA,108,0,NA,108,1,NA,NA,NA
peyton_huber_coppock_2022,footnote_3_huber_replications,Footnote 3 (p. 5),take the first two replications conducted on online samples by Huber and Paris (2013) as our pre-COVID replication estimates,NA,2,0,NA,2,1,NA,NA,NA
peyton_huber_coppock_2022,results_summary_estimates,Results (p. 6),"Across the 12 studies, we obtained 138 summary effect size estimates",138,138,0,1,138,1,NA,NA,NA
peyton_huber_coppock_2022,results_summary_conjoint,Results (p. 6),82 for the conjoint studies,82,82,0,1,82,1,NA,NA,NA
peyton_huber_coppock_2022,results_summary_nonconjoint,Results (p. 6),and 56 for the remaining studies,56,56,0,1,56,1,NA,NA,NA
peyton_huber_coppock_2022,results_fig2_pairs,Results (p. 6),Figure 2 compares the 28 estimated summary effects from the pre-COVID studies with their 28 replications,28,28,0,1,28,1,NA,NA,NA
peyton_huber_coppock_2022,results_correctly_signed_nonconjoint,Results (p. 6),with 24 of 28 signed in the same direction,24,24,0,1,24,1,NA,NA,NA
peyton_huber_coppock_2022,results_sig_smaller_of_24,Results (p. 6),"Of the 24 correctly signed estimates, 10 were significantly smaller in replication. Superseded by the 2023 corrigendum, which gives 11",11,10,0,0,11,0,NA,paper_internal,"Corrected to 11 by the 2023 corrigendum, which the deposit and the rewrite both give"
peyton_huber_coppock_2022,results_incorrectly_signed,Results (p. 6),Of the four incorrectly signed estimates,4,4,0,1,4,1,NA,NA,NA
peyton_huber_coppock_2022,results_sig_among_incorrect,Results (p. 6),three were significantly different,3,3,0,1,3,1,NA,NA,NA
peyton_huber_coppock_2022,results_atomic_sig_count,Results (p. 6),two of six estimates from the atomic aversion study,NA,2,0,NA,2,1,NA,NA,NA
peyton_huber_coppock_2022,results_atomic_estimate_count,Results (p. 6),two of six estimates from the atomic aversion study,NA,6,0,NA,6,1,NA,NA,NA
peyton_huber_coppock_2022,results_conjoint_pairs,Results (p. 6),Figure 3 plots the analogous information for the 41 conjoint estimates and their 41 replications,41,41,0,1,41,1,NA,NA,NA
peyton_huber_coppock_2022,results_conjoint_smaller,Results (p. 6),"Of these, 35 of 41 were smaller in replication",35,35,0,1,35,1,NA,NA,NA
peyton_huber_coppock_2022,results_conjoint_sig_among_smaller,Results (p. 6),"35 of 41 were smaller in replication (6 statistically significant differences). Superseded by the 2023 corrigendum, which gives 11",11,6,0,0,11,0,NA,paper_internal,"Corrected to 11 by the 2023 corrigendum, which the deposit and the rewrite both give"
peyton_huber_coppock_2022,results_conjoint_larger,Results (p. 6),and 6 of 41 were larger in replication,6,6,0,1,6,1,NA,NA,NA
